"excel_row","Study_ID","Author_Year","Location_ID","Measured","Order","Family","Common_name","Trophic_Level","Sampling_date","variation","m_g","se_g","n_g","m_c","se_c","n_c","Stratum","Herbivore_origin","Max_size_class","Single_size_class","Response_group","Design","Years_since_exclusion","zero_adjusted","sd_g","sd_c","yi","vi","es_id"
88,"#1603","Torma et al., 2023","LOC13","Abundance",NA,NA,"Spider","Predator","May-June 2018","SE",110.30071039382,19.182357403959,3,122.154976205256,15.302779502034,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",0,FALSE,33.224817632602,26.5051915945464,0.10208016855415,0.0459380105603825,87
89,"#1603","Torma et al., 2023","LOC13","Abundance",NA,NA,"Plant Hopper","Herbivore","May-June 2018","SE",92.6270777294985,16.3804400303465,3,61.1593903027794,16.1649079246845,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",0,FALSE,28.3717543828952,27.9984418252263,-0.415098102869507,0.101132055333944,88
90,"#1603","Torma et al., 2023","LOC13","Abundance",NA,NA,"Ground beetle","Predator","May-June 2018","SE",39.2617916006559,13.385586036299,3,32.8080269045833,8.8440479168403,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",0,FALSE,23.1845151039544,15.3183403365411,-0.179578613906034,0.188902155834669,89
91,"#1603","Torma et al., 2023","LOC13","Abundance",NA,NA,"Spider","Predator","May-June 2018","SE",83.243002862781,16.7319825453737,3,89.9357958809305,16.0148975791435,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",0,FALSE,28.9806438799429,27.7386162850884,0.077331961021687,0.0721107164297276,90
92,"#1603","Torma et al., 2023","LOC13","Abundance",NA,NA,"Plant Hopper","Herbivore","May-June 2018","SE",92.565107423775,20.556435698602,3,127.70227076906,36.332304955668,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",0,FALSE,35.6047910525013,62.9293981393035,0.321789283977307,0.130262240491565,91
93,"#2127","Vanbergen et al., 2006","LOC23","Abundance","Diptera","Tephritidae","Flies","Herbivore","37834","SE",4.12658416311483,1.37547383279444,10,6.21969651736723,2.63134124534588,10,"Above-ground","Domestic","Large","Large","Abundance","Natural grazed vs ungrazed",10,FALSE,4.34963017359203,8.32103163643692,0.410271128535366,0.290087072004782,92
94,"#2127","Vanbergen et al., 2006","LOC23","Abundance","Diptera","Tephritidae","Flies","Herbivore","37834","SE",18.1504369366059,4.8141584147805,10,6.07018849206349,3.16957013643935,10,"Above-ground","Domestic","Large","Large","Abundance","Natural grazed vs ungrazed",10,FALSE,15.223705607572,10.023060834799,-1.09530497641579,0.342994674682913,93
95,"#2127","Vanbergen et al., 2006","LOC23","Abundance","Hymenpotera","Pteromalidae","Wasp","Parasitoid","37834","SE",3.7976665074466,1.22596580749069,10,0.388883530521259,0.119606420242994,10,"Above-ground","Domestic","Large","Large","Abundance","Natural grazed vs ungrazed",10,FALSE,3.8768442851581,0.378228710747131,-2.2788621887175,0.19880865097512,94
96,"#2347","Warner et al., 2021","LOC22","Richness","Coleoptera","Carabidae","Ground beetles","Predator","7 June - 18 August 2018","SE",5.35737704918033,0.603278688524591,5,4.75409836065574,0.55081967213115,5,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",NA,FALSE,1.34897215691791,1.2316702302294,-0.119467440005328,0.0261043778024184,95
97,"#2347","Warner et al., 2021","LOC22","Richness","Coleoptera","Carabidae","Ground beetles","Predator","8 June - 18 August 2018","SE",5.96065573770492,0.42622950819672,14,5.3304189435337,0.41894353369763,14,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",NA,FALSE,1.59480478780528,1.56754316750091,-0.111750662002942,0.011290424712907,96
98,"#1078","Zhu et al., 2024","LOC38","Abundance","Orthoptera","Acrididae","Grasshopper","Herbivore","Mid and late August 2021","SE",6.333,1.093,6,13.417,1.3,6,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",1,FALSE,2.67729228886201,3.18433666561813,0.750748502074041,0.0391746886108061,97
99,"#1508","Zhu et al., 2019","LOC38","Richness","Multiple",NA,"Mixed insect community","Herbivore","Mid July - late September 2014","SE",19.0245302398647,1.1800646486617,4,23.3435668539665,0.330418101625298,4,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",4,FALSE,2.3601292973234,0.660836203250597,0.204592224974725,0.00404789687247669,98
100,"#1508","Zhu et al., 2019","LOC38","Abundance","Multiple",NA,"Mixed insect community","Herbivore","Mid July - late September 2014","SE",24.2168146939762,0.377620687571699,4,18.7177134312126,0.802443961089999,4,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",4,FALSE,0.755241375143399,1.60488792218,-0.257576896130192,0.00208106011414111,99
101,"#1508","Zhu et al., 2019","LOC38","Richness","Multiple",NA,"Mixed insect community","Predator","Mid July - late September 2014","SE",9.25874475873544,0.45543294509152,4,8.01665490848586,0.322855,4,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",4,FALSE,0.91086589018304,0.64571,-0.14404724309185,0.00404152316775369,100
102,"#1508","Zhu et al., 2019","LOC38","Abundance","Multiple","Multiple","Mixed insect community","Predator","Mid July - late September 2014","SE",11.0804765391015,0.4802555740433,4,4.53880332778702,0.248417970049919,4,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",4,FALSE,0.960511148086599,0.496835940099839,-0.8925212962175,0.00487416877734794,101
103,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivores","June-September 2018","SE",177.556,76.487,3,139.778,13.587,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,132.479370118521,23.5333743224383,-0.239230602367757,0.195017269169178,102
104,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivores","June-September 2018","SE",177.444,59.563,3,81.889,9.557,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,103.166142251225,16.5532095679358,-0.773290394475051,0.126296226494425,103
105,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivores","June-September 2018","SE",147.778,17.421,3,72,7.198,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,30.1740571186574,12.4673017128808,-0.719045028621793,0.0238916223249658,104
106,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivores","June-September 2018","SE",68.667,19.698,3,88.111,32.864,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,34.1179368074917,56.9221177399436,0.249328648785165,0.221407321744664,105
107,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Pollinators","June-September 2018","SE",1.889,0.778,3,1,0.509,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,1.34753552828859,0.881613861052558,-0.636047588519372,0.428708115946127,106
108,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Pollinators","June-September 2018","SE",1.556,0.401,3,0.778,0.401,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.69455237383512,0.69455237383512,-0.693147180559945,0.332077586719623,107
109,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Pollinators","June-September 2018","SE",3.111,0.729,3,1.333,0.577,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,1.26266503871771,0.999393315967242,-0.847512176718928,0.242276687899565,108
110,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Pollinators","June-September 2018","SE",1.556,0.484,3,2.222,2.058,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,0.838312590863337,3.56456056197675,0.356289265461238,0.954587349295771,109
111,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",42.444,9.081,3,48.889,16.747,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,15.728753383533,29.006654874356,0.141366862289434,0.163117199343037,110
112,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",22.889,7.243,3,51.333,20.484,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,12.5452439992214,35.4793287422409,0.807677374407432,0.259368567822313,111
113,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",22.111,4.24,3,80.556,14.878,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,7.34389542409204,25.7694519150098,1.2928773724946,0.07088271594514,112
114,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",20,2.524,3,56.333,8.505,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,4.37169623830385,14.7310921183733,1.0355482355237,0.0387205623833399,113
115,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",29.556,3.663,3,44.778,18.566,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,6.3445021081248,32.1572552933238,0.415430178450904,0.187272134016724,114
116,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",6.333,2.028,3,8.222,4.801,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,3.51259903774968,8.31557592713818,0.261039430941393,0.443509527846964,115
117,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",18.889,1.614,3,27.889,5.236,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,2.79553000341617,9.06901802843064,0.389652603801691,0.0425490256103483,116
118,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",52.333,27.236,3,47.333,21.497,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,47.1741357949459,37.2338962103082,-0.100419420578329,0.477120085615331,117
119,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",73.444,30.224,3,13,2.404,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,52.3495036079617,4.16385014139558,-1.7315738535984,0.203548898210483,118
120,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",80.111,58.478,3,7.556,6.889,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,101.286867125013,11.932098013342,-2.36107122334595,1.3640886799913,119
121,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",13.667,6.406,3,6.556,0.484,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,11.0955174732862,0.838312590863337,-0.73460350710108,0.22514890124983,120
122,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",0.222,0.111,3,6.667,3.283,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,0.192257639640145,5.68632280124862,3.40224788074578,0.492482753618431,121
123,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",2.556,1.281,3,1.444,0.401,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,2.21875708449573,0.69455237383512,-0.571026496044654,0.328292838064754,122
124,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",0.111,0.111,3,11.667,6.064,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.192257639640145,10.5031560970977,4.65498942151152,1.2701469007729,123
125,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",6.556,4.904,3,97.111,10.774,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,8.49397716031777,18.6611154007471,2.69547399327232,0.571838396302009,124
126,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",5.556,2.406,3,16.222,9.101,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,4.16731424301072,15.7633943996844,1.07148992075606,0.502280959193641,125
127,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",412.111,109.151,3,354.222,60.511,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,189.055077696951,104.8081264168,-0.151368895317766,0.0993320658608015,126
128,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",309.333,20.694,3,179.667,37.192,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,35.8430594118303,64.4184336351017,-0.543313229004567,0.047326591925383,127
129,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",236.556,21.897,3,394.222,34.025,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,37.9267165333357,58.933028727531,0.510729236023393,0.0160177153205449,128
130,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",174.778,56.399,3,288.556,92.195,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,97.6859334960771,159.686424203813,0.501372577387013,0.206211676783641,129
131,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivore","June-September 2018","SE",4.83,0.215,3,8.804,2.126,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.372390923627309,3.68234001689143,0.600359695999734,0.060294591262367,130
132,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivore","June-September 2018","SE",9.826,1.159,3,2.99,0.577,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,2.00744688597233,0.999393315967242,-1.18975854634386,0.0511527256446332,131
133,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivore","June-September 2018","SE",4.538,0.818,3,1.391,0.554,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,1.41681756059134,0.959556147393158,-1.18246347341634,0.191114763244982,132
134,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Herbivore","June-September 2018","SE",5.601,3.06,3,1.583,0.821,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,5.30007547116076,1.42201371301405,-1.26362337232882,0.567460359175401,133
135,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",22.511,3.379,3,15.837,0.53,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,5.85259967877524,0.917986928011505,-0.351655104122438,0.0236512976724778,134
136,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",15.695,4.206,3,12.687,2.745,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,7.2850056966347,4.75447946677657,-0.212764343135456,0.118628158110955,135
137,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",11.339,0.693,3,7.216,1.223,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,1.20031120964523,2.11829813765674,-0.45194732822938,0.0324602152424244,136
138,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Predator","June-September 2018","SE",26.006,7.229,3,23.854,3.733,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,12.5209952879154,6.46574566465462,-0.0863753624726509,0.101759987727697,137
139,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",2.804,0.326,3,3.856,1.116,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.564648563267454,1.93296870124687,0.318583407575956,0.0972803727591151,138
140,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",4.894,0.895,3,10.593,3.69,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,1.55018547277415,6.39126747992916,0.772183440593879,0.15478701100206,139
141,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",2.389,0.318,3,2.827,0.552,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,0.550792156806903,0.95609204577802,0.168341210367781,0.0558447603387273,140
142,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Parasitoid","June-September 2018","SE",4.383,2.056,3,4.335,1.932,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,3.56109646036161,3.34632216022307,-0.0110118112041669,0.418666806781992,141
143,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",24.793,5.072,3,15.93,2.602,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,8.78496169598935,4.50679620129422,-0.442357231342158,0.0685302974202599,142
144,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",25.175,4.163,3,6.031,2.289,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,7.21052751190924,3.96466429852516,-1.42893860413578,0.171394633237326,143
145,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",13.79,4.107,3,11.175,2.076,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,7.11353266668538,3.59573747651299,-0.210264551305578,0.123210605227106,144
146,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Omnivore","June-September 2018","SE",2.701,1.546,3,16.961,2.945,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,2.67775054850148,5.10088962829034,1.83729451607922,0.357768188501185,145
147,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",3.693,0.33,3,4.485,1.267,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.571576766497729,2.19450837318977,0.194299359640333,0.0877895713226231,146
148,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",1.458,0.743,3,6.215,2.424,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,1.28691375002368,4.19849115754696,1.44990009137621,0.411813222936986,147
149,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",3.812,0.956,3,4.875,0.052,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,1.65584057203585,0.0900666419935816,0.245966118657855,0.0630078913573613,148
150,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Detritivore","June-September 2018","SE",4.198,2.266,3,13.342,4.528,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,3.92482712995108,7.84272605667188,1.15630873288888,0.406541743336144,149
151,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Scavenger","June-September 2018","SE",0.848,0.499,3,1.57,0.234,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.86429335297687,0.405299888971117,0.615950262550451,0.368479919174592,150
152,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Scavenger","June-September 2018","SE",0.034,0.034,3,0.741,0.686,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,0.0588897274573418,1.18818685399225,3.08164010067993,1.85706116219647,151
153,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Scavenger","June-September 2018","SE",0.016,0.016,3,0.111,0.057,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,0.027712812921102,0.098726896031426,1.93694147907255,1.26369612856099,152
154,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Scavenger","June-September 2018","SE",0.21,0.166,3,3.217,1.162,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,0.287520434056434,2.01264303839504,2.72909699652156,0.755322449064869,153
155,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",62.507,5.149,3,53.452,5.407,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,8.91832960817215,9.36519871652492,-0.15649449555201,0.0170181756431542,154
156,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",59.354,1.378,3,39.948,8.294,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",24,FALSE,2.38676601282991,14.3656293979763,-0.395940907202379,0.0436450373370521,155
157,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",36.794,3.559,3,28.347,2.585,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",20,FALSE,6.16436882413763,4.47735133756555,-0.260813583934993,0.0176721078417638,156
158,"#1097","Zhu et al., 2023","LOC18","Abundance","Multiple","Multiple","Mixed arthropod community","Total","June-September 2018","SE",44.212,6.74,3,65.997,2.484,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",6,FALSE,11.6740224430142,4.30241420600109,0.400613040999173,0.0246568037358557,157
159,"#1312","Shen et al., 2025","LOC37","Abundance","Orthoptera",NA,"Grasshopper","Herbivore","June-September 2021 and 2022","SE",880,43.969,3,703.99,27.343,3,NA,"Domestic","Medium","Medium","Abundance","Exclosure",18,FALSE,76.156541957996,47.3594652313558,-0.22315775596055,0.00400502724741598,158
160,"#1796","Ausden et al., 2005","LOC_England","Richness",NA,NA,"Molluscs (snails/slugs)","Herbivore or detritivore","37469","SE",2.5,0.4,3,5.1,0.3,3,"Ground & litter-dwelling","Domestic","Large","Large","Richness","Exclosure",3,FALSE,0.692820323027551,0.519615242270663,0.712949807856125,0.0290602076124567,159
161,"#1796","Ausden et al., 2005","LOC_England","Density",NA,NA,"Molluscs (snails/slugs)","Herbivore or detritivore","37469","SE",32.9,7,3,57.3,15,3,"Ground & litter-dwelling","Domestic","Large","Large","Abundance","Exclosure",3,FALSE,12.1243556529821,25.9807621135332,0.554827965949368,0.113798175871305,160
168,"#1470","Bucher et al., 2021","LOC20","Abundance",NA,NA,NA,NA,"End of May and end of July 2018","SE",116.358024691358,29.32098765432,32,78.395061728395,16.358024691358,32,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",5,FALSE,165.864553611654,92.5349614886098,-0.394910920429475,0.107038239711638,161
169,"#1470","Bucher et al., 2021","LOC20","Richness",NA,NA,NA,NA,"End of May and end of July 2018","SE",3.87132352941176,0.25919117647059,32,3.69485294117647,0.18198529411764,32,"Above-ground","Native","Medium","Medium","Richness","Exclosure",5,FALSE,1.46620670804858,1.02946428437449,-0.0466556916407984,0.00690844236850638,162
170,"#1470","Bucher et al., 2021","LOC20","Diversity",NA,NA,NA,NA,"End of May and end of July 2018","SE",0.65110294117647,0.059558823529412,32,0.685294117647058,0.0518382352941179,32,"Above-ground","Native","Medium","Medium","Diversity","Exclosure",5,FALSE,0.336915583977121,0.293241341609717,0.0511803574627026,0.0140894267491217,163
171,"#1470","Bucher et al., 2021","LOC20","Abundance","Aranaea",NA,"Spider",NA,"End of May and end of July 2018","SE",121.95744680851,18.212765957447,32,109.702127659574,15.829787234043,32,"Above-ground","Native","Medium","Medium","Abundance","Exclosure",5,FALSE,103.026962501394,89.5467991834564,-0.105903424888983,0.0431234415238934,164
172,"#1470","Bucher et al., 2021","LOC20","Richness","Aranaea",NA,"Spider",NA,"End of May and end of July 2018","SE",10.4558823529411,1.2058823529412,32,9.52941176470588,1.16176470588232,32,"Above-ground","Native","Medium","Medium","Richness","Exclosure",5,FALSE,6.8215007126233,6.57193361338067,-0.092781733450959,0.0281640499829279,165
173,"#1470","Bucher et al., 2021","LOC20","Diversity","Aranaea",NA,"Spider",NA,"End of May and end of July 2018","SE",1.8722891566265,0.13012048192771,32,1.82168674698795,0.14939759036144,32,"Above-ground","Native","Medium","Medium","Diversity","Exclosure",5,FALSE,0.736072601138763,0.845120393900034,-0.0273989741881122,0.0115557172256724,166
174,"#1318","Baidya 2025","LOC35","Richness",NA,NA,NA,NA,"2018","SE",14.534,1.329,10,13.087,1.059,10,"Ground & litter-dwelling","Native","Large","Large","Richness","Exclosure",13,FALSE,4.20266701036378,3.34885204211831,-0.104871361121101,0.014909458421234,167
175,"#1318","Baidya 2025","LOC35","Richness",NA,NA,NA,NA,"2018","SE",13.447,1.097,10,13.55,1.385,10,"Ground & litter-dwelling","Native","Medium","Medium","Richness","Exclosure",13,FALSE,3.46901859320471,4.37975455933321,0.00763051448397705,0.0171029267662041,168
176,"#2492","Cope et al., 2019","LOC05","Abundance","Oligochaeta","Lumbricidae + Megascolecidae (Amynthas)","Anecic","Detritivore","Late August to early October 2013 and 2014","SE",5.72147651006711,2.16442953020135,44,4.61409395973154,1.44295302013423,44,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",12.5,FALSE,14.3572012736862,9.57146751579076,-0.215111379616946,0.240908571477715,169
177,"#2492","Cope et al., 2019","LOC05","Abundance","Oligochaeta","Lumbricidae + Megascolecidae (Amynthas)","Endogeic","Detritivore","Late August to early October 2013 and 2014","SE",5.43624161073825,1.34228187919464,44,1.34228187919463,0.48657718120805,44,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",12.5,FALSE,8.90369071236355,3.22758788323174,-1.39871688111845,0.192372566110348,170
178,"#2492","Cope et al., 2019","LOC05","Abundance","Oligochaeta","Lumbricidae + Megascolecidae (Amynthas)","Epigeic","Detritivore","Late August to early October 2013 and 2014","SE",3.05369127516778,0.67114093959732,44,2.3489932885906,0.48657718120806,44,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",12.5,FALSE,4.45184535618178,3.22758788323181,-0.262364264467491,0.09121150827195,171
